port_id,pso_lat,pso_lon
CNNJI,111.0297906,275.2711087
CNNJI,98.3136355,282.2287957
CNNJI,93.35839707,281.9843492
CNNJI,78.25441067,275.1271605
CNNJI,63.11332887,275.8547657
CNNJI,42.07691548,275.9434476
CNNJI,23.40684285,274.9942032
CNNJI,7.729523399,280.7795325
CNNJI,-9.58888958,282.1650793
CNNJI,-21.67944827,281.2029724
CNNJI,-30.21439702,277.8031003
CNNJI,-36.76693619,275.9221536
CNNJI,-46.59364945,266.6718201
CNNJI,-46.03601986,269.3197551
CNNJI,-51.66456215,266.067736
CNNJI,-45.80259068,267.9677952
CNNJI,-40.20682425,264.8438766
CNNJI,-31.5077095,254.5269917
CNNJI,-23.59317368,246.7538624
CNNJI,-18.17257428,240.2532542
CNNJI,-15.32901915,230.9727257
CNNJI,-11.86895236,224.8662412
CNNJI,-6.387319193,217.2855216
CNNJI,2.429795559,213.1735972
CNNJI,6.166543617,205.414104
CNNJI,9.792746413,194.1783045
CNNJI,10.63178979,185.4762043
CNNJI,20.02666437,181.6283027
CNNJI,33.33341138,180.0798108
CNNJI,37.46241578,180.256156
CNNJI,34.59061345,180.0462785
CNNJI,29.58610641,177.5616046
CNNJI,16.31231679,176.4106662
CNNJI,2.01166197,176.1733136
CNNJI,2.774467383,169.908927
CNNJI,2.330604193,162.9236279
CNNJI,3.996532125,162.4200342
CNNJI,21.93834101,170.3965052
CNNJI,34.09600933,181.3049295
CNNJI,44.74788686,176.0096453
CNNJI,37.97932307,168.3424012
CNNJI,28.68836444,162.1231894
CNNJI,28.20923545,155.5636661
CNNJI,36.10962514,151.009051
CNNJI,35.22055419,143.7756939
CNNJI,30.14003461,136.8563777
CNNJI,32.23520307,131.9794828
CNNJI,35.18549177,126.03905
CNNJI,32.51416036,119.0628927
CNADG,35.05857167,129.1231917
CNADG,34.96740639,129.0830095
CNADG,34.88489757,129.0315929
CNADG,34.81034108,128.9705352
CNADG,34.7430328,128.9014296
CNADG,34.68226859,128.8258693
CNADG,34.62734435,128.7454475
CNADG,34.57755571,128.6617553
CNADG,34.53215974,128.5760171
CNADG,34.49033218,128.4886852
CNADG,34.4512385,128.4001139
CNADG,34.41413315,128.3106292
CNADG,34.37899616,128.2203241
CNADG,34.34616149,128.1291779
CNADG,34.31595917,128.0371708
CNADG,34.28830283,127.9443794
CNADG,34.26243585,127.851035
CNADG,34.237541,127.7573833
CNADG,34.21298294,127.6636252
CNADG,34.18921168,127.5696955
CNADG,34.16707806,127.4754306
CNADG,34.14740801,127.3806713
CNADG,34.13015515,127.2854194
CNADG,34.11420554,127.1898734
CNADG,34.09838016,127.0942434
CNADG,34.08194719,126.998679
CNADG,34.06611465,126.9030649
CNADG,34.05261631,126.807214
CNADG,34.04311529,126.710948
CNADG,34.03779664,126.6142698
CNADG,34.03544528,126.5173544
CNADG,34.03479113,126.4203831
CNADG,34.03466246,126.3234866
CNADG,34.03416247,126.2266529
CNADG,34.03244203,126.1298453
CNADG,34.02884388,126.0330293
CNADG,34.02492746,125.9361946
CNADG,34.02367568,125.8393466
CNADG,34.02809033,125.742493
CNADG,34.04038429,125.6459828
CNADG,34.06108633,125.550894
CNADG,34.09050874,125.4583983
CNADG,34.12849176,125.3693623
CNADG,34.17175565,125.2826354
CNADG,34.21575449,125.196249
CNADG,34.25604742,125.1082786
CNADG,34.29125173,125.0181235
CNADG,34.32338981,124.926656
CNADG,34.35466237,124.8348258
CNADG,34.38689248,124.7434157
CNADG,34.42042353,124.6525544
CNADG,34.45523655,124.5622104
CNADG,34.49131042,124.4723528
CNADG,34.52858542,124.3829612
CNADG,34.56696852,124.294024
CNADG,34.6063655,124.2055297
CNADG,34.64657198,124.1174097
CNADG,34.68706293,124.0294278
CNADG,34.72725523,123.9413177
CNADG,34.7666121,123.8528341
CNADG,34.80515753,123.7639859
CNADG,34.84328804,123.674951
CNADG,34.88140615,123.5859101
CNADG,34.91977193,123.49698
CNADG,34.95832991,123.4081359
CNADG,34.99698231,123.3193342
CNADG,35.03563157,123.2305314
CNADG,35.0741822,123.141685
CNADG,35.11253977,123.0527529
CNADG,35.15060861,122.9636926
CNADG,35.18819643,122.8744261
CNADG,35.22494596,122.7848148
CNADG,35.26048379,122.694714
CNADG,35.29459695,122.6040445
CNADG,35.3280201,122.5131131
CNADG,35.3618347,122.422368
CNADG,35.39710858,122.3322511
CNADG,35.43443309,122.2429796
CNADG,35.47382012,122.1544982
CNADG,35.51524661,122.0667351
CNADG,35.55821952,121.9794767
CNADG,35.60020697,121.891895
CNADG,35.63812429,121.8029954
CNADG,35.66901578,121.7118229
CNADG,35.69258651,121.6182407
CNADG,35.71104298,121.5228808
CNADG,35.72668904,121.4264055
CNADG,35.74232549,121.3297263
